strategy,class_id,class_label,mean_predicted_probability,observed_frequency
Best EV,0,SL (class 0),0.031423173725479474,0.21316614420062696
Best EV,0,SL (class 0),0.16073731251553142,0.24943052391799544
Best EV,0,SL (class 0),0.24666557389845328,0.3281637717121588
Best EV,0,SL (class 0),0.3338946417586444,0.4328767123287671
Best EV,0,SL (class 0),0.43262287011513345,0.6153846153846154
Best EV,0,SL (class 0),0.5353315839400659,0.6923076923076923
Best EV,0,SL (class 0),0.6045746803283691,0.5
Best EV,1,TP (class 1),0.05869315284560381,0.06264501160092807
Best EV,1,TP (class 1),0.15193036381321348,0.12420382165605096
Best EV,1,TP (class 1),0.25169257314474597,0.17697228144989338
Best EV,1,TP (class 1),0.3487498030687372,0.2847222222222222
Best EV,1,TP (class 1),0.44800794577546055,0.2643171806167401
Best EV,1,TP (class 1),0.5475541590634039,0.3432203389830508
Best EV,1,TP (class 1),0.6523555113574652,0.49606299212598426
Best EV,1,TP (class 1),0.7504494287246881,0.5720930232558139
Best EV,1,TP (class 1),0.8390678351833707,0.6666666666666666
Best EV,1,TP (class 1),0.9599560814745286,0.6176470588235294
Best EV,2,TIME (class 2),0.033832549029593095,0.09144542772861357
Best EV,2,TIME (class 2),0.15216526440505324,0.210727969348659
Best EV,2,TIME (class 2),0.25366068939305253,0.29337539432176657
Best EV,2,TIME (class 2),0.353741740850809,0.3824884792626728
Best EV,2,TIME (class 2),0.44938483738130136,0.42943548387096775
Best EV,2,TIME (class 2),0.5499197807576921,0.5481481481481482
Best EV,2,TIME (class 2),0.6454422267330666,0.6026490066225165
Best EV,2,TIME (class 2),0.7417325538943014,0.6533864541832669
Best EV,2,TIME (class 2),0.8357062060385942,0.75
Best EV,2,TIME (class 2),0.9513116736910237,0.7611940298507462
