strategy,class_id,class_label,mean_predicted_probability,observed_frequency
m=1.5,0,SL (class 0),0.032194775981749864,0.19718309859154928
m=1.5,0,SL (class 0),0.1649689476180356,0.255859375
m=1.5,0,SL (class 0),0.2481496382139477,0.3156862745098039
m=1.5,0,SL (class 0),0.3336628354039074,0.3512396694214876
m=1.5,0,SL (class 0),0.43700271210771924,0.5957446808510638
m=1.5,0,SL (class 0),0.5289545390341017,0.4444444444444444
m=1.5,1,TP (class 1),0.07374221471331592,0.0660377358490566
m=1.5,1,TP (class 1),0.1583012019407498,0.13253012048192772
m=1.5,1,TP (class 1),0.2432481377289213,0.18620689655172415
m=1.5,1,TP (class 1),0.34026125419524406,0.267741935483871
m=1.5,1,TP (class 1),0.4458204975275144,0.2602739726027397
m=1.5,1,TP (class 1),0.5444618517007583,0.2564102564102564
m=1.5,1,TP (class 1),0.6413393047722903,0.5681818181818182
m=1.5,1,TP (class 1),0.7532199178972552,0.41935483870967744
m=1.5,1,TP (class 1),0.8461488723754883,0.3
m=1.5,1,TP (class 1),1.0,0.3333333333333333
m=1.5,2,TIME (class 2),0.014508945613422176,0.125
m=1.5,2,TIME (class 2),0.1558805547262493,0.15789473684210525
m=1.5,2,TIME (class 2),0.25926439560673853,0.3333333333333333
m=1.5,2,TIME (class 2),0.3567007871273437,0.366120218579235
m=1.5,2,TIME (class 2),0.45291512419885777,0.4734042553191489
m=1.5,2,TIME (class 2),0.5489123655486495,0.5424954792043399
m=1.5,2,TIME (class 2),0.6437472942488154,0.61731843575419
m=1.5,2,TIME (class 2),0.7420460273188056,0.6453900709219859
m=1.5,2,TIME (class 2),0.8486520734700289,0.7818181818181819
m=1.5,2,TIME (class 2),0.9327303732142729,0.8529411764705882
